"2014 rank";"City";"State[5]";"2014 estimate";"2010 Census";"Change";"2014 land area";"2010 population density";"Location"
13;"San Francisco[10]";"California";852469;805235;5.87%;"46.9 sq mi
121.4 km2";"17,179 per sq mi
6,633 km−2";"37.7751°N 122.4193°W"
14;"Indianapolis[11]";"Indiana";848788;820445;3.45%;"361.4 sq mi
936.1 km2";"2,270 per sq mi
876 km−2";"39.7767°N 86.1459°W"
15;"Columbus";"Ohio";835957;787033;6.22%;"217.2 sq mi
562.5 km2";"3,624 per sq mi
1,399 km−2";"39.9848°N 82.9850°W"
16;"Fort Worth";"Texas";812238;741206;9.58%;"339.8 sq mi
880.1 km2";"2,181 per sq mi
842 km−2";"32.7795°N 97.3463°W"
17;"Charlotte";"North Carolina";809958;731424;10.74%;"297.7 sq mi
771.0 km2";"2,457 per sq mi
949 km−2";"35.2087°N 80.8307°W"
18;"Detroit";"Michigan";680250;713777;"−4.70%";"138.8 sq mi
359.4 km2";"5,144 per sq mi
1,986 km−2";"42.3830°N 83.1022°W"
19;"El Paso";"Texas";679036;649121;4.61%;"255.2 sq mi
661.1 km2";"2,543 per sq mi
982 km−2";"31.8484°N 106.4270°W"
20;"Seattle";"Washington";668342;608660;9.81%;"83.9 sq mi
217.4 km2";"7,251 per sq mi
2,800 km−2";"47.6205°N 122.3509°W"
21;"Denver[12]";"Colorado";663862;600158;10.61%;"153.0 sq mi
396.3 km2";"3,923 per sq mi
1,515 km−2";"39.7618°N 104.8806°W"
22;"Washington[13]";"District of Columbia";658893;601723;9.50%;"61.0 sq mi
158.1 km2";"9,856 per sq mi
3,806 km−2";"38.9041°N 77.0171°W"
23;"Memphis";"Tennessee";656861;646889;1.54%;"315.1 sq mi
816.0 km2";"2,053 per sq mi
793 km−2";"35.1035°N 89.9785°W"
24;"Boston";"Massachusetts";655884;617594;6.20%;"48.3 sq mi
125.0 km2";"12,793 per sq mi
4,939 km−2";"42.3320°N 71.0202°W"
25;"Nashville[14]";"Tennessee";644014;601222;7.12%;"475.1 sq mi
1,230.8 km2";"1,265 per sq mi
489 km−2";"36.1718°N 86.7850°W"
26;"Baltimore[15]";"Maryland";622793;620961;0.30%;"80.9 sq mi
209.6 km2";"7,672 per sq mi
2,962 km−2";"39.3002°N 76.6105°W"
27;"Oklahoma City";"Oklahoma";620602;579999;7.00%;"606.4 sq mi
1,570.6 km2";"956 per sq mi
369 km−2";"35.4671°N 97.5137°W"
28;"Portland";"Oregon";619360;583776;6.10%;"133.4 sq mi
345.6 km2";"4,375 per sq mi
1,689 km−2";"45.5370°N 122.6500°W"
29;"Las Vegas";"Nevada";613599;583756;5.11%;"135.8 sq mi
351.8 km2";"4,298 per sq mi
1,660 km−2";"36.2277°N 115.2640°W"
30;"Louisville[16]";"Kentucky";612780;597337;2.59%;"325.2 sq mi
842.4 km2";"1,837 per sq mi
709 km−2";"38.1781°N 85.6667°W"
31;"Milwaukee";"Wisconsin";599642;594833;0.81%;"96.1 sq mi
249.0 km2";"6,188 per sq mi
2,389 km−2";"43.0633°N 87.9667°W"
32;"Albuquerque";"New Mexico";557169;545852;2.07%;"187.7 sq mi
486.2 km2";"2,908 per sq mi
1,123 km−2";"35.1056°N 106.6474°W"
33;"Tucson";"Arizona";527972;520116;1.51%;"226.7 sq mi
587.2 km2";"2,294 per sq mi
886 km−2";"32.1543°N 110.8711°W"
34;"Fresno";"California";515986;494665;4.31%;"113.2 sq mi
293.2 km2";"4,418 per sq mi
1,706 km−2";"36.7827°N 119.7945°W"
35;"Sacramento";"California";485199;466488;4.01%;"97.9 sq mi
253.6 km2";"4,764 per sq mi
1,839 km−2";"38.5666°N 121.4686°W"
36;"Long Beach";"California";473577;462257;2.45%;"50.3 sq mi
130.3 km2";"9,191 per sq mi
3,549 km−2";"33.8091°N 118.1553°W"
37;"Kansas City";"Missouri";470800;459787;2.40%;"315.0 sq mi
815.7 km2";"1,460 per sq mi
564 km−2";"39.1252°N 94.5511°W"
38;"Mesa";"Arizona";464704;439041;5.85%;"136.5 sq mi
353.4 km2";"3,218 per sq mi
1,242 km−2";"33.4019°N 111.7174°W"
39;"Atlanta";"Georgia";456002;420003;8.57%;"133.2 sq mi
344.9 km2";"3,154 per sq mi
1,218 km−2";"33.7629°N 84.4227°W"
40;"Virginia Beach[15]";"Virginia";450980;437994;2.96%;"249.0 sq mi
644.9 km2";"1,759 per sq mi
679 km−2";"36.7793°N 76.0240°W"
41;"Omaha";"Nebraska";446599;408958;9.20%;"127.1 sq mi
329.2 km2";"3,218 per sq mi
1,242 km−2";"41.2647°N 96.0419°W"
42;"Colorado Springs";"Colorado";445830;416427;7.06%;"194.5 sq mi
503.9 km2";"2,141 per sq mi
826 km−2";"38.8673°N 104.7607°W"
43;"Raleigh";"North Carolina";439896;403892;8.91%;"142.9 sq mi
370.1 km2";"2,826 per sq mi
1,091 km−2";"35.8302°N 78.6414°W"
44;"Miami";"Florida";430332;399457;7.73%;"35.9 sq mi
92.9 km2";"11,539 per sq mi
4,455 km−2";"25.7752°N 80.2086°W"
45;"Oakland";"California";413775;390724;5.90%;"55.9 sq mi
144.8 km2";"7,004 per sq mi
2,704 km−2";"37.7699°N 122.2256°W"
46;"Minneapolis";"Minnesota";407207;382578;6.44%;"54.0 sq mi
139.8 km2";"7,088 per sq mi
2,737 km−2";"44.9633°N 93.2683°W"
47;"Tulsa";"Oklahoma";399682;391906;1.98%;"196.8 sq mi
509.6 km2";"1,992 per sq mi
769 km−2";"36.1279°N 95.9023°W"
48;"Cleveland";"Ohio";389521;396815;"−1.84%";"77.7 sq mi
201.2 km2";"5,107 per sq mi
1,972 km−2";"41.4781°N 81.6795°W"
49;"Wichita";"Kansas";388413;382368;1.58%;"159.3 sq mi
412.6 km2";"2,400 per sq mi
927 km−2";"37.6907°N 97.3427°W"
50;"New Orleans[17]";"Louisiana";384320;343829;11.78%;"169.4 sq mi
438.8 km2";"2,029 per sq mi
784 km−2";"30.0686°N 89.9390°W"
51;"Arlington";"Texas";383204;365438;4.86%;"95.9 sq mi
248.3 km2";"3,811 per sq mi
1,472 km−2";"32.7007°N 97.1247°W"
52;"Bakersfield";"California";368759;347483;6.12%;"142.2 sq mi
368.2 km2";"2,444 per sq mi
944 km−2";"35.3212°N 119.0183°W"
53;"Tampa";"Florida";358699;335709;6.85%;"113.4 sq mi
293.7 km2";"3,077 per sq mi
1,182 km−2";"27.9701°N 82.4797°W"
54;"Aurora";"Colorado";353108;325078;8.62%;"154.1 sq mi
369.1 km2";"2,110 per sq mi
881 km−2";"39.7082°N 104.8235°W"
55;"Honolulu[2]";"Hawai'i";350399;337256;3.90%;"60.5 sq mi
156.7 km2";"5,573 per sq mi
2,152 km−2";"21.3259°N 157.8453°W"
56;"Anaheim";"California";346997;336265;3.19%;"49.8 sq mi
129.1 km2";"6,748 per sq mi
2,605 km−2";"33.8555°N 117.7601°W"
57;"Santa Ana";"California";334909;324528;3.20%;"27.3 sq mi
70.6 km2";"11,901 per sq mi
4,595 km−2";"33.7365°N 117.8826°W"
58;"Corpus Christi";"Texas";320434;305215;4.99%;"160.6 sq mi
416.0 km2";"1,900 per sq mi
734 km−2";"27.7543°N 97.1734°W"
59;"Riverside";"California";319504;303871;5.14%;"81.1 sq mi
210.2 km2";"3,745 per sq mi
1,446 km−2";"33.9381°N 117.3932°W"
60;"St. Louis[15]";"Missouri";317419;319294;"−0.59%";"61.9 sq mi
160.3 km2";"5,157 per sq mi
1,991 km−2";"38.6357°N 90.2446°W"
61;"Lexington[18]";"Kentucky";310797;295803;5.07%;"283.6 sq mi
734.6 km2";"1,043 per sq mi
403 km−2";"38.0402°N 84.4584°W"
62;"Pittsburgh";"Pennsylvania";305412;305704;"−0.10%";"55.4 sq mi
143.4 km2";"5,521 per sq mi
2,132 km−2";"40.4398°N 79.9766°W"
63;"Stockton";"California";302389;291707;3.66%;"61.7 sq mi
159.7 km2";"4,730 per sq mi
1,826 km−2";"37.9763°N 121.3133°W"
64;"Anchorage[19]";"Alaska";301010;291826;3.15%;"1,704.7 sq mi
4,415.1 km2";"171 per sq mi
66 km−2";"61.2176°N 149.8953°W"
65;"Cincinnati";"Ohio";298165;296943;0.41%;"77.9 sq mi
201.9 km2";"3,810 per sq mi
1,471 km−2";"39.1399°N 84.5064°W"
66;"Saint Paul";"Minnesota";297640;285068;4.41%;"52.0 sq mi
134.6 km2";"5,484 per sq mi
2,118 km−2";"44.9489°N 93.1039°W"
67;"Greensboro";"North Carolina";282586;269666;4.79%;"126.5 sq mi
327.7 km2";"2,131 per sq mi
823 km−2";"36.0965°N 79.8271°W"
68;"Toledo";"Ohio";281031;287208;"−2.15%";"80.7 sq mi
209.0 km2";"3,559 per sq mi
1,374 km−2";"41.6641°N 83.5819°W"
69;"Newark";"New Jersey";280579;277140;1.24%;"24.2 sq mi
62.6 km2";"11,458 per sq mi
4,424 km−2";"40.7242°N 74.1726°W"
70;"Plano";"Texas";278480;259841;7.17%;"71.6 sq mi
185.4 km2";"3,630 per sq mi
1,402 km−2";"33.0508°N 96.7479°W"
71;"Henderson";"Nevada";277440;257729;7.65%;"107.7 sq mi
279.0 km2";"2,392 per sq mi
924 km−2";"36.0122°N 115.0375°W"
72;"Lincoln";"Nebraska";272996;258379;5.66%;"89.1 sq mi
230.8 km2";"2,899 per sq mi
1,119 km−2";"40.8090°N 96.6804°W"
73;"Orlando";"Florida";262372;238300;10.10%;"102.4 sq mi
265.2 km2";"2,327 per sq mi
899 km−2";"28.4159°N 81.2988°W"
74;"Jersey City";"New Jersey";262146;247597;5.88%;"14.8 sq mi
38.3 km2";"16,737 per sq mi
6,462 km−2";"40.7114°N 74.0648°W"
75;"Chula Vista";"California";260988;243916;7.00%;"49.6 sq mi
128.5 km2";"4,915 per sq mi
1,898 km−2";"32.6277°N 117.0152°W"
76;"Buffalo";"New York";258703;261310;"−1.00%";"40.4 sq mi
104.6 km2";"6,471 per sq mi
2,498 km−2";"42.8925°N 78.8597°W"
77;"Fort Wayne";"Indiana";258522;253691;1.90%;"110.6 sq mi
286.5 km2";"2,293 per sq mi
885 km−2";"41.0882°N 85.1439°W"
78;"Chandler";"Arizona";254276;236123;7.69%;"64.4 sq mi
166.8 km2";"3,666 per sq mi
1,415 km−2";"33.2829°N 111.8549°W"
79;"St. Petersburg";"Florida";253693;244769;3.65%;"61.7 sq mi
159.9 km2";"3,964 per sq mi
1,531 km−2";"27.7620°N 82.6441°W"
80;"Laredo";"Texas";252309;236091;6.87%;"88.9 sq mi
230.3 km2";"2,655 per sq mi
1,025 km−2";"27.5477°N 99.4869°W"
81;"Durham";"North Carolina";251893;228330;10.32%;"107.4 sq mi
278.1 km2";"2,127 per sq mi
821 km−2";"35.9810°N 78.9056°W"
82;"Irvine";"California";248531;212375;17.02%;"66.1 sq mi
171.2 km2";"3,213 per sq mi
1,240 km−2";"33.6784°N 117.7713°W"
